0.000 109.6016115
0.002	109.6016115
0.004	111.9566299
0.006	101.4746842
0.008	104.528499
0.01	106.7019795
0.012	104.9711529
0.014	123.1510494
0.016	111.6134487
0.018	104.9798568
0.02	103.4268378
0.022	106.5589874
0.024	108.8816771
0.026	107.4865712
0.028	113.3691435
0.03	107.4256441
0.032	101.5865911
0.034	109.718492
0.036	102.9481249
0.038	107.4480255
0.04	106.3463643
0.042	105.7308764
0.044	95.93031931
0.046	109.7968268
0.048	109.8863523
0.05	109.8291555
0.052	110.5105441
0.054	96.73356212
0.056	103.1769124
0.058	101.255844
0.06	105.5306874
0.062	98.33756093
0.064	106.694519
0.066	98.76778076
0.068	98.39973142
0.07	105.7383368
0.072	99.07241619
0.074	100.7373421
0.076	88.12792201
0.078	96.87158062
0.08	97.97572864
0.082	104.8617328
0.084	98.91450313
0.086	107.7004377
0.088	98.10255645
0.09	102.9257436
0.092	94.15721675
0.094	101.2757386
0.096	105.1663682
0.098	119.2653934
0.1	225.4650353
0.102	465.951706
0.104	679.7647468
0.106	818.4186313
0.108	917.3853576
0.11	945.1917338
0.112	961.9504128
0.114	984.4175868
0.116	989.4434497
0.118	989.2731026
0.12	992.213767
0.122	1000
0.124	988.8851587
0.126	989.2656421
0.128	986.9118671
0.13	977.636029
0.132	980.114145
0.134	964.4757784
0.136	962.3719288
0.138	955.508306
0.14	957.6556749
0.142	949.7538048
0.144	932.2266985
0.146	934.3790411
0.148	930.5344176
0.15	913.2684273
0.152	904.9363374
0.154	902.3077688
0.156	894.8560131
0.158	877.0354621
0.16	879.859246
0.162	860.7343579
0.164	854.1044962
0.166	847.2470904
0.168	847.5840545
0.17	840.7403263
0.172	824.0836069
0.174	828.0948473
0.176	813.2224212
0.178	807.7476873
0.18	794.0515269
0.182	783.2562419
0.184	779.6727345
0.186	773.3475082
0.188	767.6514473
0.19	762.0884313
0.192	746.487367
0.194	753.6245399
0.196	741.1767632
0.198	726.0133791
0.2	717.6887496
0.202	712.0038794
0.204	703.9702079
0.206	697.1898936
0.208	694.6893962
0.21	685.0828111
0.212	678.9739381
0.214	678.0811698
0.216	675.545857
0.218	666.5448125
0.22	660.816423
0.222	647.7208296
0.224	635.0057197
0.226	642.3841142
0.228	636.1906893
0.23	621.5719188
0.232	622.066796
0.234	612.3060281
0.236	612.5435193
0.238	601.9235552
0.24	601.7370437
0.242	587.7934447
0.244	585.8089625
0.246	579.4153487
0.248	571.6465234
0.25	562.4825923
0.252	564.9880633
0.254	558.744902
0.256	548.7130707
0.258	541.1755197
0.26	539.4160947
0.262	535.9917438
0.264	532.6768129
0.266	527.2654929
0.268	524.1320999
0.27	520.0412812
0.272	518.7966279
0.274	513.3915249
0.276	512.5957426
0.278	499.1184224
0.28	491.0200935
0.282	491.9887098
0.284	496.0782851
0.286	487.1990948
0.288	479.2226201
0.29	484.4200736
0.292	479.6926291
0.294	465.6321496
0.296	463.2559932
0.298	459.8403462
0.3	458.3333333
0.302	454.9251467
0.304	443.2495275
0.306	440.2491793
0.308	435.9071919
0.31	436.1247886
0.312	432.9391724
0.314	426.3130409
0.316	424.8122451
0.318	419.8895852
0.32	408.2040187
0.322	406.8026957
0.324	408.7473888
0.326	418.836417
0.328	410.1375211
0.33	397.5566995
0.332	393.1413508
0.334	390.875858
0.336	387.2898637
0.338	392.4922909
0.34	384.3952054
0.342	377.5651547
0.344	365.7763852
0.346	375.7957824
0.348	371.5943002
0.35	362.1593057
0.352	361.8621307
0.354	358.5322789
0.356	347.6487118
0.358	359.1204118
0.36	358.5210882
0.362	347.3415896
0.364	352.9779668
0.366	347.749428
0.368	344.236795
0.37	344.3076694
0.372	332.0625684
0.374	334.7097881
0.376	331.7231175
0.378	337.9637919
0.38	322.6536855
0.382	332.7414702
0.384	323.4842833
0.386	319.7179946
0.388	320.7326171
0.39	314.523028
0.392	304.1032528
0.394	316.7574356
0.396	315.6035512
0.398	307.2478365
0.4	303.430568
0.402	308.9339003
0.404	298.64717
0.406	295.1556749
0.408	299.5536158
0.41	296.6850691
0.412	291.8370138
0.414	286.6084751
0.416	287.0013926
0.418	292.6116582
0.42	286.6345867
0.422	280.41132
0.424	283.2040187
0.426	274.2900129
0.428	270.0412812
0.43	269.1348354
0.432	266.3160251
0.434	271.7310753
0.436	264.7468417
0.438	267.6800458
0.44	260.6112603
0.442	269.837362
0.444	263.9398687
0.446	261.5860937
0.448	250.8940117
0.45	252.8959017
0.452	249.6605491
0.454	247.3614841
0.456	249.399433
0.458	250.2623595
0.46	255.0432707
0.462	244.1621904
0.464	241.7350542
0.466	235.8450214
0.468	233.6541331
0.47	245.0872874
0.472	236.747737
0.474	238.2721576
0.476	233.6193176
0.478	237.8295036
0.48	231.6286183
0.482	223.2940416
0.484	234.8465632
0.486	230.7793693
0.488	224.6431414
0.49	225.7211778
0.492	226.9819954
0.494	216.4639908
0.496	221.120561
0.498	223.192082
0.5	217.4773699
0.502	223.6285189
0.504	213.0881329
0.506	211.0153685
0.508	219.0602308
0.51	205.5020889
0.512	201.3901323
0.514	213.5108923
0.516	206.8487019
0.518	213.5929573
0.52	206.4545409
0.522	203.2801154
0.524	200.3083657
0.526	204.9363374
0.528	199.4392221
0.53	196.7808117
0.532	201.62265
0.534	201.5032826
0.536	201.2993634
0.538	198.0366557
0.54	200.2250572
0.542	193.3676514
0.544	197.5032329
0.546	192.0658013
0.548	188.5668457
0.55	188.8988362
0.552	185.8325873
0.554	196.9349945
0.556	189.3377599
0.558	186.3237342
0.56	184.1639312
0.562	176.7233662
0.564	185.373769
0.566	178.5748035
0.568	175.2088929
0.57	178.6481647
0.572	181.2145628
0.574	185.5441162
0.576	185.3203024
0.578	171.0335223
0.58	181.9208197
0.582	171.7932458
0.584	168.3278623
0.586	178.6593554
0.588	180.9248483
0.59	172.2868795
0.592	176.146424
0.594	169.5153188
0.596	173.2107331
0.598	172.245847
0.6	162.0809709
0.602	171.0074107
0.604	170.8905302
0.606	171.9076395
0.608	165.1795484
0.61	166.7450015
0.612	171.3394012
0.614	167.5606784
0.616	172.3938128
0.618	161.2901621
0.62	165.3150801
0.622	163.3256242
