0.000000000000000000e+00 9.802356791640141864e+01
2.020202020202020200e-03 1.023754320947339522e+02
4.040404040404040401e-03 1.030912067045859573e+02
6.060606060606060601e-03 1.011763168614902355e+02
8.080808080808080801e-03 9.918960904800373157e+01
1.010101010101010013e-02 1.006581749758140774e+02
1.212121212121212120e-02 9.638341924563744101e+01
1.414141414141414227e-02 9.601172214054039955e+01
1.616161616161616160e-02 9.627722621126115143e+01
1.818181818181818094e-02 9.871205257126587185e+01
2.020202020202020027e-02 9.702054235586022912e+01
2.222222222222222307e-02 9.994882853008188306e+01
2.424242424242424240e-02 9.575184838186174829e+01
2.626262626262626174e-02 1.012128255297189838e+02
2.828282828282828454e-02 9.504960664365501088e+01
3.030303030303030387e-02 9.842329713871495755e+01
3.232323232323232320e-02 9.647317609971453578e+01
3.434343434343434254e-02 9.519957418039741981e+01
3.636363636363636187e-02 9.667524845828025093e+01
3.838383838383838120e-02 1.042627292616465553e+02
4.040404040404040054e-02 9.901935807683911150e+01
4.242424242424242681e-02 9.864400155242057622e+01
4.444444444444444614e-02 1.041022861384507081e+02
4.646464646464646547e-02 1.040280127851956138e+02
4.848484848484848481e-02 9.903031237941050335e+01
5.050505050505050414e-02 9.397988785603062922e+01
5.252525252525252347e-02 1.008543691136206348e+02
5.454545454545454281e-02 1.007936239909531508e+02
5.656565656565656908e-02 1.012735019381672004e+02
5.858585858585858841e-02 1.015283292525654275e+02
6.060606060606060774e-02 9.525756360284010782e+01
6.262626262626262708e-02 9.299136224485280877e+01
6.464646464646464641e-02 9.282942097508855284e+01
6.666666666666666574e-02 1.008733943225178393e+02
6.868686868686868507e-02 9.817772989180099330e+01
7.070707070707070441e-02 1.004362947649474336e+02
7.272727272727272374e-02 9.363638910950845684e+01
7.474747474747474307e-02 1.020409960046564635e+02
7.676767676767676241e-02 1.014737465835914634e+02
7.878787878787878174e-02 9.836579990206605828e+01
8.080808080808080107e-02 1.003555374597672767e+02
8.282828282828283428e-02 9.803364228672752745e+01
8.484848484848485362e-02 9.382798973282989152e+01
8.686868686868687295e-02 9.889918818533692502e+01
8.888888888888889228e-02 9.425672671547496861e+01
9.090909090909091161e-02 9.779103908673799594e+01
9.292929292929293095e-02 9.940418618016366281e+01
9.494949494949495028e-02 1.021825684911361662e+02
9.696969696969696961e-02 9.298283082431044022e+01
9.898989898989898895e-02 9.686553529652822192e+01
1.010101010101010083e-01 9.427678930443468630e+01
1.030303030303030276e-01 9.766903079720977132e+01
1.050505050505050469e-01 1.010737390902374671e+02
1.070707070707070663e-01 9.868838434786458436e+01
1.090909090909090856e-01 1.017598990915078190e+02
1.111111111111111049e-01 9.533684721671409079e+01
1.131313131313131382e-01 1.023068895041541140e+02
1.151515151515151575e-01 1.020170892851043760e+02
1.171717171717171768e-01 9.885765320581364790e+01
1.191919191919191962e-01 9.870995195770295538e+01
1.212121212121212155e-01 9.918817210988912336e+01
1.232323232323232348e-01 1.007415533459557366e+02
1.252525252525252542e-01 9.733660937842178384e+01
1.272727272727272596e-01 9.908724503546169160e+01
1.292929292929292928e-01 1.005350683727527326e+02
1.313131313131313260e-01 9.424814538053986723e+01
1.333333333333333315e-01 9.743929760944689633e+01
1.353535353535353647e-01 9.716913861599452673e+01
1.373737373737373701e-01 1.028861572558904811e+02
1.393939393939394034e-01 9.330180505434064742e+01
1.414141414141414088e-01 9.925392493479306211e+01
1.434343434343434420e-01 9.292516457550314612e+01
1.454545454545454475e-01 1.017135195407870754e+02
1.474747474747474807e-01 9.898851428059370505e+01
1.494949494949494861e-01 9.997606056715132183e+01
1.515151515151515194e-01 9.576382726021604697e+01
1.535353535353535248e-01 9.440955479233441849e+01
1.555555555555555580e-01 1.013458898725560431e+02
1.575757575757575635e-01 9.740300730791896910e+01
1.595959595959595967e-01 9.233253213891816813e+01
1.616161616161616021e-01 9.372250141073342888e+01
1.636363636363636354e-01 9.621184202726280432e+01
1.656565656565656686e-01 9.306287030556629247e+01
1.676767676767676740e-01 9.953477750247613187e+01
1.696969696969697072e-01 9.696830210178096365e+01
1.717171717171717127e-01 9.698718420790122252e+01
1.737373737373737459e-01 9.885923503118492306e+01
1.757575757575757514e-01 9.397208552539728998e+01
1.777777777777777846e-01 9.469747423864757252e+01
1.797979797979797900e-01 9.636928097617376920e+01
1.818181818181818232e-01 1.015267031972182821e+02
1.838383838383838287e-01 9.351460816026005318e+01
1.858585858585858619e-01 9.762338185530130374e+01
1.878787878787878673e-01 1.015791138023226949e+02
1.898989898989899006e-01 9.634322522111042986e+01
1.919191919191919060e-01 9.768723767730674012e+01
1.939393939393939392e-01 1.000023179450424209e+02
1.959595959595959724e-01 9.925467951682142598e+01
1.979797979797979779e-01 9.669722002213677570e+01
2.000000000000000111e-01 9.759027899999999534e+01
